level_1,eo_code,month_year,eo_model_id,man_hours
first06,sl_730_1,10_2024,69,329.8590909090909
first06,sl_730_1,10_2025,69,129.27727272727276
first06,sl_730_1,10_2026,69,323.79090909090917
first06,sl_730_1,10_2027,69,298.463636363636
first06,sl_730_1,10_2028,69,121.06818181818188
first06,sl_730_1,10_2029,69,231.53181818181832
first06,sl_730_1,10_2030,69,210.59545454545474
first06,sl_730_1,10_2031,69,618.0090909090912
first06,sl_730_1,10_2032,69,633.7500000000003
first06,sl_730_1,10_2033,69,608.3409090909091
first06,sl_730_1,11_2024,69,137.4090909090909
first06,sl_730_1,11_2025,69,415.26818181818186
first06,sl_730_1,11_2026,69,478.44090909090914
first06,sl_730_1,11_2027,69,582.8954545454544
first06,sl_730_1,11_2028,69,181.55000000000007
first06,sl_730_1,11_2029,69,259.46363636363657
first06,sl_730_1,11_2030,69,280.87727272727295
first06,sl_730_1,11_2031,69,437.2500000000003
first06,sl_730_1,11_2032,69,136.81818181818198
first06,sl_730_1,11_2033,69,673.2227272727272
first06,sl_730_1,12_2024,69,51.98636363636364
first06,sl_730_1,12_2025,69,866.8227272727273
first06,sl_730_1,12_2026,69,169.53181818181824
first06,sl_730_1,12_2027,69,84.47727272727273
first06,sl_730_1,12_2028,69,1107.5318181818184
first06,sl_730_1,12_2029,69,499.8863636363638
first06,sl_730_1,12_2030,69,232.45909090909112
first06,sl_730_1,12_2031,69,796.4318181818185
first06,sl_730_1,12_2032,69,320.7227272727276
first06,sl_730_1,12_2033,69,352.2045454545454
first06,sl_730_1,1_2025,69,435.55
first06,sl_730_1,1_2026,69,158.89545454545458
first06,sl_730_1,1_2027,69,444.2227272727273
first06,sl_730_1,1_2028,69,153.0318181818182
first06,sl_730_1,1_2029,69,238.8636363636365
first06,sl_730_1,1_2030,69,252.76818181818197
first06,sl_730_1,1_2031,69,714.0409090909093
first06,sl_730_1,1_2032,69,568.5136363636367
first06,sl_730_1,1_2033,69,692.6045454545458
first06,sl_730_1,1_2034,69,331.68636363636347
first06,sl_730_1,2_2025,69,141.41363636363636
first06,sl_730_1,2_2026,69,426.78636363636366
first06,sl_730_1,2_2027,69,453.8136363636363
first06,sl_730_1,2_2028,69,747.6318181818182
first06,sl_730_1,2_2029,69,128.58636363636373
first06,sl_730_1,2_2030,69,209.25000000000014
first06,sl_730_1,2_2031,69,312.1227272727275
first06,sl_730_1,2_2032,69,313.29545454545485
first06,sl_730_1,2_2033,69,316.486363636364
first06,sl_730_1,2_2034,69,602.2863636363635
first06,sl_730_1,3_2025,69,163.7909090909091
first06,sl_730_1,3_2026,69,236.10000000000005
first06,sl_730_1,3_2027,69,184.70454545454544
first06,sl_730_1,3_2028,69,117.91363636363639
first06,sl_730_1,3_2029,69,494.3681818181819
first06,sl_730_1,3_2030,69,454.0318181818184
first06,sl_730_1,3_2031,69,222.7045454545457
first06,sl_730_1,3_2032,69,328.577272727273
first06,sl_730_1,3_2033,69,326.26818181818214
first06,sl_730_1,3_2034,69,326.7590909090907
first06,sl_730_1,4_2025,69,361.04090909090905
first06,sl_730_1,4_2026,69,204.4136363636364
first06,sl_730_1,4_2027,69,368.77727272727265
first06,sl_730_1,4_2028,69,122.99545454545458
first06,sl_730_1,4_2029,69,171.8500000000001
first06,sl_730_1,4_2030,69,311.31363636363653
first06,sl_730_1,4_2031,69,504.7863636363639
first06,sl_730_1,4_2032,69,572.7590909090912
first06,sl_730_1,4_2033,69,922.7500000000003
first06,sl_730_1,4_2034,69,365.7409090909088
first06,sl_730_1,5_2025,69,89.63181818181819
first06,sl_730_1,5_2026,69,448.3045454545455
first06,sl_730_1,5_2027,69,557.1318181818181
first06,sl_730_1,5_2028,69,360.609090909091
first06,sl_730_1,5_2029,69,152.1318181818183
first06,sl_730_1,5_2030,69,214.89545454545473
first06,sl_730_1,5_2031,69,337.26818181818203
first06,sl_730_1,5_2032,69,259.9409090909094
first06,sl_730_1,5_2033,69,332.8318181818184
first06,sl_730_1,5_2034,69,715.5227272727269
first06,sl_730_1,6_2025,69,239.26818181818183
first06,sl_730_1,6_2026,69,177.6954545454546
first06,sl_730_1,6_2027,69,229.12272727272716
first06,sl_730_1,6_2028,69,460.65000000000003
first06,sl_730_1,6_2029,69,590.4136363636366
first06,sl_730_1,6_2030,69,443.9772727272729
first06,sl_730_1,6_2031,69,228.95000000000024
first06,sl_730_1,6_2032,69,434.0227272727276
first06,sl_730_1,6_2033,69,344.5136363636366
first06,sl_730_1,6_2034,69,370.50454545454505
first06,sl_730_1,7_2025,69,672.6590909090909
first06,sl_730_1,7_2026,69,269.21363636363645
first06,sl_730_1,7_2027,69,229.21363636363623
first06,sl_730_1,7_2028,69,132.23181818181823
first06,sl_730_1,7_2029,69,218.98636363636376
first06,sl_730_1,7_2030,69,330.53181818181844
first06,sl_730_1,7_2031,69,539.9318181818185
first06,sl_730_1,7_2032,69,657.6045454545458
first06,sl_730_1,7_2033,69,336.2954545454547
first06,sl_730_1,7_2034,69,379.5863636363632
first06,sl_730_1,8_2024,69,0.3
first06,sl_730_1,8_2025,69,101.95000000000002
first06,sl_730_1,8_2026,69,467.42272727272734
first06,sl_730_1,8_2027,69,561.4045454545453
first06,sl_730_1,8_2028,69,116.91363636363641
first06,sl_730_1,8_2029,69,156.06818181818196
first06,sl_730_1,8_2030,69,291.73181818181837
first06,sl_730_1,8_2031,69,309.8136363636366
first06,sl_730_1,8_2032,69,269.48636363636393
first06,sl_730_1,8_2033,69,663.9772727272729
first06,sl_730_1,8_2034,69,625.3681818181814
first06,sl_730_1,9_2024,69,78.66818181818181
first06,sl_730_1,9_2025,69,424.9454545454546
first06,sl_730_1,9_2026,69,165.01363636363644
first06,sl_730_1,9_2027,69,242.59545454545434
first06,sl_730_1,9_2028,69,547.6863636363637
first06,sl_730_1,9_2029,69,634.6500000000001
first06,sl_730_1,9_2030,69,817.9136363636366
first06,sl_730_1,9_2031,69,369.4954545454548
first06,sl_730_1,9_2032,69,374.26818181818214
first06,sl_730_1,9_2033,69,317.05909090909097
first06,sl_730_2,10_2024,69,329.8590909090909
first06,sl_730_2,10_2025,69,129.27727272727276
first06,sl_730_2,10_2026,69,323.79090909090917
first06,sl_730_2,10_2027,69,298.463636363636
first06,sl_730_2,10_2028,69,121.06818181818188
first06,sl_730_2,10_2029,69,231.53181818181832
first06,sl_730_2,10_2030,69,210.59545454545474
first06,sl_730_2,10_2031,69,618.0090909090912
first06,sl_730_2,10_2032,69,633.7500000000003
first06,sl_730_2,10_2033,69,608.3409090909091
first06,sl_730_2,11_2024,69,137.4090909090909
first06,sl_730_2,11_2025,69,415.26818181818186
first06,sl_730_2,11_2026,69,478.44090909090914
first06,sl_730_2,11_2027,69,582.8954545454544
first06,sl_730_2,11_2028,69,181.55000000000007
first06,sl_730_2,11_2029,69,259.46363636363657
first06,sl_730_2,11_2030,69,280.87727272727295
first06,sl_730_2,11_2031,69,437.2500000000003
first06,sl_730_2,11_2032,69,136.81818181818198
first06,sl_730_2,11_2033,69,673.2227272727272
first06,sl_730_2,12_2024,69,51.98636363636364
first06,sl_730_2,12_2025,69,866.8227272727273
first06,sl_730_2,12_2026,69,169.53181818181824
first06,sl_730_2,12_2027,69,84.47727272727273
first06,sl_730_2,12_2028,69,1107.5318181818184
first06,sl_730_2,12_2029,69,499.8863636363638
first06,sl_730_2,12_2030,69,232.45909090909112
first06,sl_730_2,12_2031,69,796.4318181818185
first06,sl_730_2,12_2032,69,320.7227272727276
first06,sl_730_2,12_2033,69,352.2045454545454
first06,sl_730_2,1_2025,69,435.55
first06,sl_730_2,1_2026,69,158.89545454545458
first06,sl_730_2,1_2027,69,444.2227272727273
first06,sl_730_2,1_2028,69,153.0318181818182
first06,sl_730_2,1_2029,69,238.8636363636365
first06,sl_730_2,1_2030,69,252.76818181818197
first06,sl_730_2,1_2031,69,714.0409090909093
first06,sl_730_2,1_2032,69,568.5136363636367
first06,sl_730_2,1_2033,69,692.6045454545458
first06,sl_730_2,1_2034,69,331.68636363636347
first06,sl_730_2,2_2025,69,141.41363636363636
first06,sl_730_2,2_2026,69,426.78636363636366
first06,sl_730_2,2_2027,69,453.8136363636363
first06,sl_730_2,2_2028,69,747.6318181818182
first06,sl_730_2,2_2029,69,128.58636363636373
first06,sl_730_2,2_2030,69,209.25000000000014
first06,sl_730_2,2_2031,69,312.1227272727275
first06,sl_730_2,2_2032,69,313.29545454545485
first06,sl_730_2,2_2033,69,316.486363636364
first06,sl_730_2,2_2034,69,602.2863636363635
first06,sl_730_2,3_2025,69,163.7909090909091
first06,sl_730_2,3_2026,69,236.10000000000005
first06,sl_730_2,3_2027,69,184.70454545454544
first06,sl_730_2,3_2028,69,117.91363636363639
first06,sl_730_2,3_2029,69,494.3681818181819
first06,sl_730_2,3_2030,69,454.0318181818184
first06,sl_730_2,3_2031,69,222.7045454545457
first06,sl_730_2,3_2032,69,328.577272727273
first06,sl_730_2,3_2033,69,326.26818181818214
first06,sl_730_2,3_2034,69,326.7590909090907
first06,sl_730_2,4_2025,69,361.04090909090905
first06,sl_730_2,4_2026,69,204.4136363636364
first06,sl_730_2,4_2027,69,368.77727272727265
first06,sl_730_2,4_2028,69,122.99545454545458
first06,sl_730_2,4_2029,69,171.8500000000001
first06,sl_730_2,4_2030,69,311.31363636363653
first06,sl_730_2,4_2031,69,504.7863636363639
first06,sl_730_2,4_2032,69,572.7590909090912
first06,sl_730_2,4_2033,69,922.7500000000003
first06,sl_730_2,4_2034,69,365.7409090909088
first06,sl_730_2,5_2025,69,89.63181818181819
first06,sl_730_2,5_2026,69,448.3045454545455
first06,sl_730_2,5_2027,69,557.1318181818181
first06,sl_730_2,5_2028,69,360.609090909091
first06,sl_730_2,5_2029,69,152.1318181818183
first06,sl_730_2,5_2030,69,214.89545454545473
first06,sl_730_2,5_2031,69,337.26818181818203
first06,sl_730_2,5_2032,69,259.9409090909094
